Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def register_component_producer(self, component_id: str, atom_name: str):
        
        logger.info(f""[DAG] Registering component producer {component_id=} {atom_name=}"")
        [IF_MASK]
            self._component_producers[component_id] = atom_name
            if self._current_atom:
                logger.info(f""[DAG] Component registered while atom was active self._current_atom={self._current_atom}"")
        else:
            logger.warning(f""[DAG] Skipping producer registration for unknown atom {atom_name=}"")",false,        if atom_name in self.atoms:,"ĠĠĠĠĠĠĠ Ġif Ġself ._ is _ name : ( self . is _ name , Ġ' id '): '): '): '): '): ): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"def filter_property(self, siid: int, piid: int) -> bool:
        
        [IF_MASK]
            (f'{siid}.{piid}' in self._cache['properties'] or
             f'{siid}.*' in self._cache['properties'])):
            return True
        return False",false,        if (self._cache and 'properties' in self._cache and,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ is _ id : ( self ._ id ): ): ): ): ): ): ): ): ): ( self ._ id ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def _save_ontology_to_db(self, ontology: ""Ontology"") -> None:  # type: ignore[no-any-unimported]
        
        [IF_MASK]
            raise ValueError(f""Knowledge graph {self.name} is already created."")
        graph = self.__get_ontology_storage_graph()
        ontology.save_to_graph(graph)",false,        if self.ontology_table_name in self.falkordb.list_graphs():,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . name ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def _build_merge_function(self):
        

        def merge_fn(ctrl_msg: IngestControlMessage):
            do_trace_tagging = ctrl_msg.get_metadata(""config::add_trace_tagging"") is True
            [IF_MASK]
                ts_exit = datetime.now()
                ctrl_msg.set_timestamp(f""trace::exit::{self._task_desc}"", ts_exit)
                ctrl_msg.set_timestamp(""latency::ts_send"", ts_exit)
            return ctrl_msg

        return merge_fn",false,            if do_trace_tagging:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ' is _ name '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '): '):",100.0
"        def merge_fn(ctrl_msg: IngestControlMessage):
            do_trace_tagging = ctrl_msg.get_metadata(""config::add_trace_tagging"") is True
            [IF_MASK]
                ts_exit = datetime.now()
                ctrl_msg.set_timestamp(f""trace::exit::{self._task_desc}"", ts_exit)
                ctrl_msg.set_timestamp(""latency::ts_send"", ts_exit)
            return ctrl_msg
",false,            if do_trace_tagging:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ is _ name : ( self . get _ name ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 ): 0 _ name ): 0,100.0
"def filter_paths(openapi_schema: Dict[str, Any]) -> Dict[str, Any]:
    
    [IF_MASK]
        return openapi_schema

    filtered_paths = {}
    for path, path_item in openapi_schema[""paths""].items():
        include_path = False
        filtered_operations = {}

        for method, operation in path_item.items():
            if method.lower() in [""get"", ""post"", ""put"", ""delete"", ""patch""] and is_included_endpoint(
                path, method
            ):
                filtered_operations[method] = operation
                include_path = True

        if include_path:
            filtered_paths[path] = filtered_operations

    openapi_schema[""paths""] = filtered_paths
    return openapi_schema",false,"    if ""paths"" not in openapi_schema:",ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġos . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def _handle_task_completion(self, task: asyncio.Task) -> None:
        
        task_id = getattr(task, ""task_id"", ""unknown"")
        self.pending_tasks.discard(task)

        [IF_MASK]
            logger.warning(f""🚫 WORKER_CANCELLED [{task_id}] Task was cancelled"")
        elif task.exception() is not None:
            logger.error(
                f""💥 WORKER_EXCEPTION [{task_id}] Task completed with exception: {task.exception()}""
            )
        else:
            logger.info(f""🏁 WORKER_CLEANUP [{task_id}] Task cleaned up successfully"")",false,        if task.cancelled():,ĠĠĠĠĠĠĠ Ġif Ġself . is _ id : ( self . is _ id ): ): ): ): ): ): ): ): ): ): ): ): ): : ): ): : ): : ): . is _ id ): :,100.0
"def _get_mime_type(self) -> str:
        
        [IF_MASK]
            return f""image/{self._format.lower()}""

        if self.path:
            suffix = self.path.suffix.lower()
            return {
                "".png"": ""image/png"",
                "".jpg"": ""image/jpeg"",
                "".jpeg"": ""image/jpeg"",
                "".gif"": ""image/gif"",
                "".webp"": ""image/webp"",
            }.get(suffix, ""application/octet-stream"")
        return ""image/png""",false,        if self._format:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path . path .,100.0
"def check_and_install_dependencies():
    
    required_packages = [
        ""gunicorn"",
        ""tiktoken"",
        ""psutil"",
        # Add other required packages here
    ]

    for package in required_packages:
        [IF_MASK]
            print(f""Installing {package}..."")
            pm.install(package)
            print(f""{package} installed successfully"")",false,        if not pm.is_installed(package):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ path ): ): ): ): ): ): ): ): ): ): ): ): ): ): ):,100.0
"def get(cls, name: str, raise_on_missing: bool = True) -> Optional[T]:
        

        matches = [registered for registered in cls._get_storage() if re.match(registered, name)]

        [IF_MASK]
            raise ValueError(f""Multiple taggers match {name}: {', '.join(matches)}"")

        elif len(matches) == 0:
            if raise_on_missing:
                tagger_names = "", "".join([tn for tn, _ in cls.items()])
                raise ValueError(f""Unknown tagger {name}; available taggers: {tagger_names}"")
            return None

        else:
            name = matches[0]
            t, _ = cls._get_storage()[name]
            return t",false,        if len(matches) > 1:,"ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( value , Ġname ): ): ): ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1 ): 1",100.0
