Input provided to the model,Whether the prediction is correct (true/false),Expected if condition,Predicted if condition,Prediction score (0-100)
"def report(request, report_id, template_name=""report/report.html""):
    if request.user.is_staff:
        rtype = get_object_or_404(ReportType, id=report_id)
        if not request.user.is_superuser:
            if rtype.permissao.count() and not len([val for val in  rtype.permissao.all() if val in request.user.groups.all()]):
                raise Http404
        rtadmin = admin.site._registry[rtype.modelo.model_class()]

        campos_dinamicos = {}
        for filtro in rtadmin.list_filter:

            field = get_field(rtype.modelo.model_class(), filtro)
            if type(field) == models.BooleanField:
                choices = (('1', _(u'Sim')), ('0', _(u'Não')), ('', _(u'Todos')))
                campos_dinamicos[filtro] = forms.ChoiceField(required=False, choices=choices, label=_(field.verbose_name), widget=forms.RadioSelect())

            [IF_MASK]
                if field.choices:
                    choices = field.choices
                    campos_dinamicos[filtro] = forms.MultipleChoiceField(required=False, choices=choices, label=_(field.verbose_name), widget=forms.CheckboxSelectMultiple())
                else:
                    choices = set()
                    for obj in rtype.modelo.model_class().objects.all():
                        choices.add((get_value(obj, filtro), get_value(obj, filtro)))
                    choices = list(choices)
                    campos_dinamicos[filtro] = forms.MultipleChoiceField(required=False, choices=choices, label=_(field.verbose_name), widget=forms.SelectMultiple())

            elif type(field) == models.DateField or type(field) == models.DateTimeField:
                choices = (('q', _(u'Qualquer data')), ('h', _(u'Hoje')), ('m', _(u'Este mês')), ('a', _(u'Este ano')))
                campos_dinamicos[filtro] = forms.ChoiceField(required=False, choices=choices, initial='q', label=_(field.verbose_name), widget=forms.RadioSelect())

            elif type(field) == models.ForeignKey or type(field) == models.OneToOneField:
                queryset = rtype.modelo.model_class()._meta.get_field(filtro).rel.to.objects.all()
                campos_dinamicos[filtro] = forms.ModelMultipleChoiceField(required=False, queryset=queryset, label=_(field.verbose_name), widget=forms.SelectMultiple())
            else:
                choices = set()
                for obj in rtype.modelo.model_class().objects.all():
                    choices.add((get_value(obj, filtro), get_value(obj, filtro)))
                choices = list(choices)
                campos_dinamicos[filtro] = forms.MultipleChoiceField(required=False, choices=choices, label=_(field.verbose_name), widget=forms.SelectMultiple())

        FilterForm = type('', (forms.Form,), campos_dinamicos)

        if request.method == ""POST"":

            response = HttpResponse(mimetype='application/pdf')
            response['Content-Disposition'] = 'attachment; filename=%s.pdf' % smart_str(rtype.titulo).replace("" "", ""_"")
            queryset = rtype.modelo.model_class().objects.all()

            for field_name in rtadmin.list_filter:
                field = get_field(rtype.modelo.model_class(), field_name)

                sql = {}
                if type(field) == models.DateField or type(field) == models.DateTimeField:
                    try:
                        value = request.POST[field_name]
                        if value == 'q': pass
                        elif value == 'h': sql[""%s__day"" % field_name] = datetime.now().day
                        elif value == 'm': sql[""%s__month"" % field_name] = datetime.now().month
                        elif value == 'a': sql[""%s__year"" % field_name] = datetime.now().year
                    except: pass
                elif type(field) == models.BooleanField:
                    try:
                        value = request.POST[field_name]
                        sql[""%s"" % field_name] = value
                    except: pass
                else:
                    try:
                        value = request.POST.getlist(field_name)
                        if len(value) == 0: continue
                        sql[""%s__in"" % field_name] = value
                    except: pass

                query = models.Q(**sql)
                queryset = queryset.filter(query)

            campos = rtype.campos.replace('[', '').replace(']', '').replace('u\'', '').replace('\'', '').replace(',', '').split(' ')
            list_report = []
            for c in campos:
               list_report.append(rtadmin.list_report[get_key(c)])

            html = html_report_generic(smart_str(rtype.cabecalho), list_report, queryset)
            pdf = pisa.CreatePDF(html, response)
            return response
        else:
            form = FilterForm()
            return render_to_response(template_name, {
                'form': form,
                'title': rtype.titulo,
                'rtype': rtype,
                'rtadmin' : rtadmin,
            }, context_instance=RequestContext(request))
    else:
        raise PermissionDenied",false,            elif type(field) == models.CharField:,"ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self , Ġ' id '): '): '): '): '): '): '):",100.0
"    def point(self) -> Optional[Point]:
        [IF_MASK]
            return Point(self.pos_x, self.pos_y)
        return None
",false,        if self.pos_x is not None and self.pos_y is not None and self.name is not None:,ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . get _ key ): ): ): ):,100.0
"    def get(self, name):
                                             

        filepath = self.get_filepath(name)

        [IF_MASK]
            f_handle = open(filepath, 'r')
            token = f_handle.read()
            f_handle.close()

            token = YahooToken.from_string(token)
            return token
",false,        if os.path.exists(filepath):,ĠĠĠĠĠĠĠ Ġif Ġnot Ġself . is _ name : ( self . name ): ): ):,100.0
"    def _gadget(self,v,labels):
                                                                             
        labels = list(labels)
        for L in labels:
            self.nrg.setdefault((v,L,True),set())
            self.nrg.setdefault((v,L,False),set())
        if len(labels) == 1:
            return
        groups = []
        n = len(labels)
        while n > 0:
            [IF_MASK]
                grouplen = 3
            else:
                grouplen = 2
            group = labels[n-grouplen:n]
            for L1 in group:
                for L2 in group:
                    if L1 != L2:
                        self.nrg[v,L1,True].add((v,L2,False))
            if len(labels) > 3:
                groups.append(object())
                self.nrg[v,groups[-1],False] = set([(v,L,False) for L in group])
                for L in group:
                    self.nrg[v,L,True].add((v,groups[-1],True))
            n -= grouplen
        if len(groups) > 1:
            self._gadget(v,groups)
",false,            if n % 3 == 0:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġself ._ has _ key : ( self . get ( self . get ( self . get (,100.0
"    def reachable(self,v,L):
                                                                    
        if v not in self or L not in self[v]:
            return
        for w,LL,bit in DFS.preorder(self.nrg,(v,L,False)):
            [IF_MASK]
                yield w,LL
",false,            if bit and LL in self[w]:,ĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . get ( self . get ( self . get ( self,100.0
"    def find_app(self, app):
        sym = self.symbol_by_name(app)
        [IF_MASK]
            if getattr(sym, ""__path__"", None):
                return self.find_app(""%s.celery:"" % (app.replace("":"", """"), ))
            return sym.celery
        return sym
",false,"        if isinstance(sym, ModuleType):",ĠĠĠĠĠĠĠ Ġif Ġself . is _ name : ( self . path ): ): ): ): ):,100.0
"def build_suite(app_module):
           
    suite = unittest.TestSuite()

                                                                   
                                                                         
    if hasattr(app_module, 'suite'):
        suite.addTest(app_module.suite())
    else:
        suite.addTest(unittest.defaultTestLoader.loadTestsFromModule(
            app_module))
        try:
            suite.addTest(doctest.DocTestSuite(app_module,
                                               checker=doctestOutputChecker,
                                               runner=DocTestRunner))
        except ValueError:
                                       
            pass

                                                                      
                   
    test_module = get_tests(app_module)
    if test_module:
                                                                      
                                                                             
        [IF_MASK]
            suite.addTest(test_module.suite())
        else:
            suite.addTest(unittest.defaultTestLoader.loadTestsFromModule(
                test_module))
            try:
                suite.addTest(doctest.DocTestSuite(
                    test_module, checker=doctestOutputChecker,
                    runner=DocTestRunner))
            except ValueError:
                                          
                pass
    return suite
",false,"        if hasattr(test_module, 'suite'):",ĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ( self . is _ name ): ): ):,100.0
"def partition_suite(suite, classes, bins):
           
    for test in suite:
        if isinstance(test, unittest.TestSuite):
            partition_suite(test, classes, bins)
        else:
            for i in range(len(classes)):
                [IF_MASK]
                    bins[i].addTest(test)
                    break
            else:
                bins[-1].addTest(test)
",false,"                if isinstance(test, classes[i]):",ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ( self . is _ name ): ): ):,100.0
"def dependency_ordered(test_databases, dependencies):
           
    ordered_test_databases = []
    resolved_databases = set()
    while test_databases:
        changed = False
        deferred = []

        while test_databases:
            signature, (db_name, aliases) = test_databases.pop()
            dependencies_satisfied = True
            for alias in aliases:
                [IF_MASK]
                    if all(a in resolved_databases
                           for a in dependencies[alias]):
                                                                       
                        dependencies.pop(alias)
                        resolved_databases.add(alias)
                    else:
                        dependencies_satisfied = False
                else:
                    resolved_databases.add(alias)

            if dependencies_satisfied:
                ordered_test_databases.append((signature, (db_name, aliases)))
                changed = True
            else:
                deferred.append((signature, (db_name, aliases)))

        if not changed:
            raise ImproperlyConfigured(
                ""Circular dependency in TEST_DEPENDENCIES"")
        test_databases = deferred
    return ordered_test_databases
",false,                if alias in dependencies:,"ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ( self . name , Ġ"" name",100.0
"    def build_suite(self, test_labels, extra_tests=None, **kwargs):
        suite = unittest.TestSuite()

        if test_labels:
            for label in test_labels:
                [IF_MASK]
                    suite.addTest(build_test(label))
                else:
                    app = get_app(label)
                    suite.addTest(build_suite(app))
        else:
            for app in get_apps():
                suite.addTest(build_suite(app))

        if extra_tests:
            for test in extra_tests:
                suite.addTest(test)

        return reorder_suite(suite, (TestCase,))
",false,                if '.' in label:,"ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ Ġif Ġnot Ġisinstance ( self . is _ name ): ( self . is _ name , Ġ' id '):",100.0
